"lon","lat","unc"
-97.363412,30.673035,NA
-98.735318,29.509527,39
-99.334338,29.863015,198
-98.77575,29.52075,2
-97.926903,29.894938,440
-97.777297,30.505833,6
-98.719004,29.539159,4
-118.447077,33.967303,4
-97.887728,29.952946,4
-97.853987,30.514536,6
-98.627719,29.506723,3
-99.334338,29.863015,198
-97.659687,30.510705,NA
-97.425384,31.017484,34
-98.704039,29.755748,8
-97.47632,31.204222,7
-98.127256,30.038629,11
-98.703668,29.755861,3
-98.680211,29.221921,4
-98.630119,29.615591,7
-122.163217,37.361878,14
-98.626662,29.639797,143
-118.333992,33.778722,8
-122.280762,37.468683,7
-97.636588,30.267412,15
-98.529656,29.55196,3
-98.495915,29.311023,6
-98.49488,29.535822,8
-99.415175,29.800548,3
-98.680108,29.221962,9
-98.501587,29.64875,5
-98.789872,29.538712,6
-98.635109,29.589244,3
-98.465917,29.644968,220
-98.468955,29.646952,2
-97.843695,30.516391,2
-98.469105,29.644106,9
-97.858212,30.512026,3
-97.660298,30.51054,NA
-98.735451,29.882186,3
-97.91791,30.375115,8
-98.467851,29.646584,198
-98.292324,29.556557,65
-98.659653,29.519138,44
-98.54058,29.601465,2
-98.31613,29.209472,2
-98.500107,29.555656,127
-98.340126,29.750675,4
-98.502297,29.554613,38
-97.662006,30.509014,NA
-98.504507,29.652371,6
-97.506649,31.007524,NA
